metric,baseline,xgboost_aft,xgboost_minus_baseline,relative_improvement,higher_is_better
pr_auc,0.06777963470587116,0.10780639071209164,0.04002675600622048,0.5905425159034283,True
roc_auc,0.9183029093967121,0.9683883316399213,0.05008542224320922,0.05454128668296752,True
brier_score,0.003558967723062132,0.003454841891504633,-0.00010412583155749913,0.0292573126985005,False
log_loss,0.018249502014499413,0.015621273589924808,-0.0026282284245746045,0.14401644617406276,False
mean_predicted_probability,0.0045569688893741375,0.0038084774728270932,-0.0007484914165470443,,
absolute_calibration_gap,0.0008767143904189556,0.00012822297387191138,-0.0007484914165470443,0.8537460143540733,False
