fraction,model,inspected,hits,precision,recall,lift,selected_overlap_count,selected_jaccard,xgboost_minus_baseline_hits,xgboost_only_true_positives,baseline_only_true_positives
0.01,baseline,322,27,0.08385093167701864,0.2288135593220339,22.784003579324143,150,0.30364372469635625,8,16,8
0.01,xgboost,322,35,0.10869565217391304,0.2966101694915254,29.53481945467944,150,0.30364372469635625,8,16,8
0.02,baseline,643,47,0.07309486780715396,0.3983050847457627,19.861362258481165,358,0.3857758620689655,8,17,9
0.02,xgboost,643,55,0.08553654743390357,0.4661016949152542,23.242019664180088,358,0.3857758620689655,8,17,9
0.05,baseline,1605,74,0.04610591900311527,0.6271186440677966,12.527915940651567,912,0.3968668407310705,20,25,5
0.05,xgboost,1605,94,0.058566978193146414,0.7966101694915254,15.913839167854691,912,0.3968668407310705,20,25,5
