feature,mean_absolute_risk_contribution,mean_signed_risk_contribution,top_driver_occurrences
length_m,0.7551921493125806,-0.5921124675919325,14078
age_years,0.5200841699498169,-0.3644375430256954,13500
material,0.3045628794592661,-0.1991967393775576,10945
pressure_zone,0.14247487964792846,-0.06242982391445172,3639
pipe_size,0.1277080496299427,-0.07056293261018108,3954
past_break_count,0.09316553981008857,-0.007829531201013722,1702
years_since_last_break,0.08028043045586712,0.0351329448020023,750
had_prior_break,0.01714701613122528,0.0006561136619723343,42
breaks_last_3y,0.008780359129424695,0.007477534178668774,11
