asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,criticality,years_since_last_break,had_prior_break,predicted_median_days,predicted_median_months,risk_probability_12m,risk_probability_24m,risk_probability_36m,raw_risk_probability_12m,raw_risk_probability_24m,raw_risk_probability_36m,driver_1_feature,driver_1_value,driver_1_direction,driver_1_contribution,driver_2_feature,driver_2_value,driver_2_direction,driver_2_contribution,driver_3_feature,driver_3_value,driver_3_direction,driver_3_contribution,criticality_was_imputed,criticality_used,criticality_normalized,urgency_score,priority_score,priority_rank,priority_percentile,priority_band,recommended_action
41030,2026-01-01,74.00288849189238,CI,150.0,416.252144640862,KIT 4,12,1,6.0,1.9448698974476368,1,66.45139229478933,2.18325279105655,0.5832995885541552,0.832521056318651,0.9534845082372136,0.9557558698671268,0.9917254196823112,0.9974681376265496,past_break_count,12,raises risk,2.207510471343994,length_m,416.252,raises risk,1.900968074798584,age_years,74.0029,raises risk,1.232107400894165,False,6.0,0.6,69.50845208518098,63.9477759183665,1,100.0,IMMEDIATE,engineering review and inspection planning now
32320,2026-01-01,66.00272421747195,CI,150.0,425.867412228591,KIT 4,6,0,5.0,3.9793729761987153,1,104.38978724936575,3.429714359616937,0.474629985728319,0.7229537570342414,0.8979076131638933,0.894672338695716,0.9741072560765099,0.9906457922911354,past_break_count,6,raises risk,2.2622411251068115,length_m,425.867,raises risk,1.5039681196212769,age_years,66.0027,raises risk,0.8248192667961121,False,5.0,0.5,59.14548798636531,53.23093918772878,2,99.99382982661812,IMMEDIATE,engineering review and inspection planning now
8940,2026-01-01,62.002642080261744,CI,150.0,299.673214795264,BRIDGEPORT,6,0,5.0,4.887997452985954,1,120.23352140889165,3.9502584088836863,0.44340056942541684,0.6847663753363834,0.8735411649014023,0.8665998930968561,0.9643536620749791,0.9864469539933749,length_m,299.673,raises risk,1.8499476909637451,past_break_count,6,raises risk,1.4235575199127197,pressure_zone,BRIDGEPORT,raises risk,0.4908868735365104,False,5.0,0.5,55.88243707463053,50.29419336716748,3,99.98765965323625,IMMEDIATE,engineering review and inspection planning now
76747,2026-01-01,86.003134903523,CI,150.0,358.355000770627,KIT 4,9,0,7.0,3.4714456579963744,1,139.60653359445107,4.586756478595489,0.41203827981448476,0.6434912535675901,0.8440523594510192,0.8317413533226281,0.9509582385763552,0.9803291278979713,past_break_count,9,raises risk,2.253568410873413,length_m,358.355,raises risk,1.2173919677734375,years_since_last_break,3.47145,raises risk,0.5533015206456184,False,7.0,0.7,52.46755799040699,49.31950451098257,4,99.98148947985439,IMMEDIATE,engineering review and inspection planning now
37810,2026-01-01,62.002642080261744,CI,150.0,291.82370695868,KIT 5,5,0,6.0,4.91908486599086,1,174.5803312781264,5.735816547465086,0.3683157550567422,0.581474550914566,0.7932439611333764,0.7695945872408135,0.9237360938704866,0.9668978187617581,past_break_count,5,raises risk,1.5651319026947021,length_m,291.824,raises risk,1.3802895545959473,pressure_zone,KIT 5,raises risk,0.4405146343342494,False,6.0,0.6,47.475621442175274,43.677571726801254,5,99.97531930647251,IMMEDIATE,engineering review and inspection planning now
6940,2026-01-01,66.00272421747195,CI,150.0,337.675169109142,KIT 4,5,1,5.0,2.9028328528053025,1,258.1433259025901,8.481269049552232,0.3005847008173027,0.4773891144939206,0.6894739941742137,0.6354723234658932,0.850720745016921,0.9258984273930072,past_break_count,5,raises risk,2.046041965484619,length_m,337.675,raises risk,1.0879342555999756,age_years,66.0027,raises risk,0.507944643497467,False,5.0,0.5,39.25149542559792,35.32634588303813,6,99.96914913309064,IMMEDIATE,engineering review and inspection planning now
61885,2026-01-01,74.00288849189238,AC,450.0,158.124733043107,KIT 5,1,0,6.0,4.086405588220307,1,271.6403193982972,8.92471120633433,0.292513649944098,0.4645443956128099,0.6750374572238277,0.6161629053656201,0.8385621620740362,0.9184835807835461,age_years,74.0029,raises risk,1.3972604274749756,length_m,158.125,raises risk,1.1029566526412964,pressure_zone,KIT 5,raises risk,0.44795044089551084,False,6.0,0.6,38.23752543726845,35.17852340228698,7,99.96297895970876,IMMEDIATE,engineering review and inspection planning now
33550,2026-01-01,67.00206027502276,CI,150.0,394.762657680913,KIT 4,12,1,7.0,0.07857270245871655,1,297.2785932402611,9.767053721522368,0.2786209235488089,0.4423055100035937,0.6492105484921371,0.5813028584083113,0.8155071195125532,0.9040114724514394,past_break_count,12,raises risk,2.20627760887146,length_m,394.763,raises risk,1.350989818572998,years_since_last_break,0.0785727,reduces risk,-0.6210606843233109,False,7.0,0.7,36.47852619795772,34.28981462608026,8,99.9568087863269,IMMEDIATE,engineering review and inspection planning now
3640,2026-01-01,70.00280635468216,CI,150.0,462.9910050047,KIT 4,7,0,6.0,8.961169633873386,1,289.8882728118957,9.524245600505825,0.2824494692294376,0.44844796357723926,0.656448526742082,0.5911102074446577,0.8221393986956562,0.9082288188078163,past_break_count,7,raises risk,2.197526454925537,age_years,70.0028,raises risk,0.8690589666366577,length_m,462.991,raises risk,0.5253684520721436,False,6.0,0.6,36.964892328504256,34.00770094222392,9,99.95063861294503,IMMEDIATE,engineering review and inspection planning now
32170,2026-01-01,63.00197813781255,CI,150.0,350.044146686786,KIT 4,5,0,6.0,6.004509370866996,1,322.9956682690281,10.611985240568492,0.2662642241825877,0.4224269129059475,0.6252488513512219,0.5486528279982001,0.7925799163216123,0.8891052555458971,past_break_count,5,raises risk,1.7511096000671387,length_m,350.044,raises risk,1.143476963043213,age_years,63.002,raises risk,0.4414941966533661,False,6.0,0.6,34.90114935164591,32.10905740351424,10,99.94446843956315,IMMEDIATE,engineering review and inspection planning now
29830,2026-01-01,60.00123205815314,DI,150.0,295.032844566714,KIT 4,3,0,7.0,4.272089649215805,1,347.12442347186794,11.404732695845679,0.2558495169433615,0.40563057365195404,0.6043756829544461,0.5200240998009605,0.7713685007664417,0.8748743445759053,past_break_count,3,raises risk,1.4173270463943481,length_m,295.033,raises risk,1.2884613275527954,age_years,60.0012,raises risk,0.7923821210861206,False,7.0,0.7,33.56364505570477,31.549826352362484,11,99.93829826618128,IMMEDIATE,engineering review and inspection planning now
17720,2026-01-01,69.00073239012437,CI,150.0,279.459916201336,KIT 4,11,0,6.0,3.5850070691237863,1,347.3971449924033,11.413692929790042,0.25573755443986645,0.405449889787326,0.6041480880899502,0.5197111787729838,0.7711307576374895,0.8747124908057148,past_break_count,11,raises risk,2.3346540927886963,length_m,279.46,raises risk,0.8347834944725037,material,CI,raises risk,0.3639189155146596,False,6.0,0.6,33.549230840911264,30.865292373638365,12,99.9321280927994,IMMEDIATE,engineering review and inspection planning now
