asset_id,driver_rank,feature,feature_value,risk_contribution_log_time,direction
55120,3,age_years,36.0007,-0.08544130623340607,reduces risk
82600,1,length_m,13.2123,-0.7423574328422546,reduces risk
82600,2,pipe_size,300,-0.19296039640903473,reduces risk
82600,3,age_years,36.0007,-0.16070465743541718,reduces risk
82602,1,pipe_size,300,-0.23555557429790497,reduces risk
82602,2,past_break_count,0,-0.051877979189157486,reduces risk
82602,3,material,DI,-0.031162460993073182,reduces risk
82604,1,length_m,6.58077,-0.6526349186897278,reduces risk
82604,2,age_years,36.0007,-0.251377135515213,reduces risk
82604,3,pipe_size,300,-0.15670053660869598,reduces risk
82606,1,length_m,5.17759,-1.5093094110488892,reduces risk
82606,2,age_years,30.6728,-0.41914790868759155,reduces risk
82606,3,material,DI,-0.13706367407212383,reduces risk
57620,1,length_m,6.42995,-0.880570650100708,reduces risk
57620,2,age_years,30.6728,-0.5967099070549011,reduces risk
57620,3,material,DI,-0.20725795454563922,reduces risk
67370,1,material,PVC,-0.4569755549309775,reduces risk
67370,2,age_years,24.5864,-0.32172855734825134,reduces risk
67370,3,length_m,71.6168,-0.19183340668678284,reduces risk
82610,1,age_years,24.5864,-0.5054199695587158,reduces risk
82610,2,length_m,18.8617,-0.4698684811592102,reduces risk
82610,3,material,PVC,-0.344206839970866,reduces risk
25740,1,past_break_count,3,1.1432414054870605,raises risk
25740,2,length_m,198.637,0.6987428665161133,raises risk
25740,3,material,CI,0.3278690922088572,raises risk
82616,1,length_m,7.16338,-0.875281035900116,reduces risk
82616,2,pressure_zone,KIT 2W,-0.5118171312715276,reduces risk
82616,3,age_years,49.0003,0.3802488446235657,raises risk
5460,1,length_m,206.477,0.6505522727966309,raises risk
5460,2,pressure_zone,KIT 2W,-0.2744510479606106,reduces risk
5460,3,pipe_size,200,0.2000379115343094,raises risk
82618,1,length_m,5.83762,-1.659218192100525,reduces risk
82618,2,pressure_zone,KIT 2W,-0.46676395701797446,reduces risk
82618,3,age_years,49.0003,0.15848903357982635,raises risk
68810,1,age_years,23.5871,-0.7030406594276428,reduces risk
68810,2,length_m,121.307,0.6775462627410889,raises risk
68810,3,material,DI,-0.17817273925538757,reduces risk
33360,1,length_m,32.9035,-0.9543218016624451,reduces risk
33360,2,material,CI,0.32030021080572624,raises risk
33360,3,pipe_size,300,-0.19512911140918732,reduces risk
82622,1,length_m,12.0396,-0.6044763326644897,reduces risk
82622,2,age_years,72.0015,-0.5543699860572815,reduces risk
82622,3,material,CI,0.34952031349166646,raises risk
43940,1,age_years,72.0015,-0.47271624207496643,reduces risk
43940,2,material,CI,0.41762579260466737,raises risk
43940,3,length_m,89.4882,0.27272239327430725,raises risk
76876,1,age_years,16.3344,-0.8400769829750061,reduces risk
76876,2,material,PVC,-0.5664398079497914,reduces risk
